"","word","word_type","frequency","example"
"1","communicate","Experience",54,"Like having another person in the house, I talk to Alexa more then my wife"
"2","fun","Experience",169,"It has been a lot of fun using in our kitchen. I think we use it much more than we thought we would"
"3","daily","Experience",112,"Love it so much! Have been using it every day...news, YouTube videos... buying more smart home products to make good use of Alexa."
"4","educational","Experience",44,"Great educational tool. Not just a toy. Kids love it ."
"5","information","Experience",42,"Life amped! The features of this device have added a new dimension to our everyday routines. Pertinent and usable information by just simply asking. Superb product."
"6","entertainment","Experience",60,"Great entertainment when friends are over. The knowledge and jokes are tons of fun."
"7","helpful","Experience",51,"I bought this as a gift. They love it! It is really helpful to have around the house. Great product."
"8","travel","Experience",53,"Purchased to stay in touch with family while traveling."
"9","home","Experience",343,"Alexa runs my entire house. The Echo show is a great addition to the Echo family. Everyone needs one!"
"10","morning","Experience",17,"So far the Echo has been extreme useful. My husband just says start my day in the morning and it gives him the weather and traffic before he leaves for work. It is also is nice to tell it to turn on and off lights in the home with the smart bulbs. Overall I'm extremely satisfied with my Echo plus."
"11","love","Emotion",1090,"Great product. Absolute love it. Alexa is fun to converse with and has a wealth of information"
"12","happy","Emotion",170,"Great product. Loving alexa! Was so happy with it that know its a big part of all that i do."
"13","enjoy","Emotion",118,"We really are enjoying asking Alexa questions and she is connected to our Sonos system playing music around the house. She doesn't always understand me. Not sure if it is her or me."
"14","satisfied","Emotion",85,"Very satisfied. Use it daily while watching TV and other activites"
"15","excited","Emotion",14,"Was so excited to get this!!! It is so much fun to use."
"16","userfriendly","Functionality",43,"Very user friendly and straight forward instructions great for all ages"
"17","feature","Functionality",73,"This Alexa is the best one out of all them due to the screen feature"
"18","battery","Functionality",149,"Great choice, battery life outstanding, many kid friendly features."
"19","setup","Functionality",194,"Great looking design. Amazon Echo Show was easy to set up and use."
"20","durable","Functionality",55,"Has been very durable with kids and easy to use. Great product for price."
